date,vix
2020-09-08,27.942643294315257
2020-09-09,28.51338410935829
2020-09-10,26.105107921426317
2020-09-11,24.943108067543342
2020-09-14,23.581242888033042
2020-09-15,22.883710675105092
2020-09-16,22.01371456121252
2020-09-17,22.69418667019889
2020-09-18,23.06640834748111
2020-09-21,23.3462634893188
2020-09-22,23.640027311204374
2020-09-23,22.69175998118088
2020-09-24,23.939773652236504
2020-09-25,24.14231272132418
2020-09-28,25.64099023386659
2020-09-29,26.90036243890221
2020-09-30,27.064898188364506
2020-10-01,26.41162352271291
2020-10-02,25.758348857061318
2020-10-05,25.10507419140972
2020-10-06,24.451799525758126
2020-10-07,23.798524860106532
2020-10-08,23.14525019445494
2020-10-09,22.491975528803344
2020-10-12,24.948972145879686
2020-10-13,24.32550614815289
2020-10-14,23.69160191423105
